Actor,AVG
William Kircher,728
Darryl Hunt,1111
Trish Basinger,1711
Kate Maberly,2436
Tatyana Ali,2468
Stephen McHattie,2499.5
Michael Derek,3330
Jim Carter,3607
Nataniel Sánchez,3830
Saad Siddiqui,4063
Kyle Hebert,4091
Kerry Bishé,4584
Naderev Sano,4914
Rapulana Seiphemo,4958
Tom Everett Scott,5005
Don Wallace,5199
Frances Bay,5494
Drew Fuller,5561
Benno Fürmann,5725
Ariel Hsing,5858
Rita Hayworth,7927
Don Brooks,8231
Michael Nyqvist,9910
Louise Brooks,9950
Jordana Spiro,10018
Irene Bedard,10508
Glenn Plummer,10696
Ximena Ayala,11278
Tony Doupe,11798
Ingvar Eggert Sigurðsson,11835
America Olivo,12843
Wagner Moura,12850.66667
Paul Sheehan,13220
Jacqueline McKenzie,13751
Gavin MacLeod,15278
Elaine Hendrix,15593
Richard Coyle,17149
Merritt Wever,17580
James Urbaniak,18195
Karl E. Landler,18435
Connor Paolo,18469
Alice Olivia Clarke,19959
Justin Kirk,20186
Elizabeth Streb,21199
Harvey Fierstein,21210
Yul Vazquez,22434
Lindsay Kay Hayward,22770
John Karyus,23000
Kendyl Joi,23616
Noam Chomsky,23807
R. Brandon Johnson,25918
Brigitte Helm,26435
Jonathan D. Mellor,27024
Jane Goodall,29233
Tori Spelling,31937
Vera Ngassa,32631
Jack McGee,33598
Amos Oz,34151
Shane Dawson,35688
Zak Penn,36830
Karra Elejalde,38108
Sarah Murphy-Dyson,39659
Robert John Burke,40542
Bjørn Sundquist,41709
Michael Abbott Jr.,45661
Samantha Futerman,47111
Raymond J. Barry,47329
Tatsuo Matsumura,48856
Emraan Hashmi,49000
Simon Yam,49413
Nolan Gerard Funk,49494
Leehom Wang,50000
Monique Gabriela Curnen,52850
Ian Tracey,52961
Chris Gauthier,56129
Noah Emmerich,58214
Lemmy,58936
Brighton Sharbino,59379
Devid Striesow,59774
Nora Zehetner,62480
Rachel Griffiths,64359
Mike Figueroa,65087
Ian Gamazon,70071
Si Won Choi,72413
Johnny Pacar,73678
Leonor Varela,75727
Zoe Lister-Jones,76382
Carole Bouquet,81525
Carol Block,84689
John August,85222
Sarah Butler,92401
Stephanie Szostak,92900
Kôji Yakusho,94596
Alicja Bachleda,95016
Lauren Gottlieb,95236
Matthew Ziff,96734
Haley Ramm,98017
Dustin Lance Black,99851
G.W. Krauss,100240
Hector Kotsifakis,100412
Adrian Martinez,100503
Greg Crowe,100675
Nirut Sirichanya,102055
Ricky Schroder,103954
Jay Mohr,105943
Danny Aiello,110000
Deborah Mailman,110029
Angeliki Papoulia,110197
Fay Masterson,110536
Anna Friel,110580.5
Marilyn Rising,110720
Brendan Doogie Milewski,111300
Jizelle Jade,113155
Ye Liu,119922
Danny Dyer,120344.5
Paul Kaye,120620
Diahann Carroll,123777
Jeffrey Falcon,124494
Catriona MacColl,126387
Kang-ho Song,128486
Siu-Wong Fan,129115
Annabelle Wallis,129319
Tommy Sheppard,133778
Maggie Cheung,136007
Madison Pettis,140987
Matt Cohen,143000
Pelé,144431
Lars Mikkelsen,145109
Edgar Ramírez,145118
James Duval,145540
Luis Tosar,146402
David Mamet,151389
Ohad Knoller,155972
Temple Grandin,155984
Samantha Morton,157340.6667
Paulette Goddard,163245
Jorge Luis Moreno,169379
Trey Loney,169719
Riccardo Scamarcio,171320
Stacy Keach,171988
William Joseph Elk III,174682
Ally Sheedy,177840
Rupert Grint,177982
Jossara Jinaro,178739
Divine,180483
Oksana Akinshina,181655
Benoît Magimel,181798
Brian Lee Franklin,183490
François Cluzet,183662
Fabian Bolin,188870
Lena Dunham,189321.3333
Honglei Sun,190666
Amir Talai,191309
Jessy Schram,194568
Marcell Nagy,195888
Brad William Henke,198407
Vidya Balan,199228
Michael Gross,200803
Charis Michelsen,203134
Sandrine Kiberlain,206400
Jiao Xu,206678
Matisyahu,215185
Laura Morante,223878
Lynn Cohen,226891
Kumar Gaurav,227241
Isabelle Huppert,228397
Kip Pardue,228524
Jeffrey Frost,228830
Akshaye Khanna,240425
Paul Schneider,241816
Monica Calhoun,243347
Joseph Campanella,243768
Otto Jespersen,252652
William Morgan Sheppard,252726
Daniel London,255352
Lauren Ambrose,265107
Stephen Graham,265952.3333
Takashi Shimura,269061
Udo Kier,274385
Alex Gibney,274661
Derick Martini,277233
Rich Pecci,278821
Shiri Appleby,279282
Josh Swanson,287761
Shirley Henderson,293298.5
Alexia Fast,298110
Jelena Jovanova,301305
Peter McNamara,302204
Eva Amurri Martino,303439
Kayvan Novak,304137
Tom Cullen,306800
Jørgen Langhelle,313436
Mathieu Amalric,317417.5
Dreama Walker,318622
Ringo Starr,321952
Kirk Fox,325491
Abhishek Bachchan,332028.5
Edie Falco,334041
Steven Yeun,334658
Paz de la Huerta,336467
Jess Weixler,347578
Asin,352684
Phyllida Law,352786
Vincent Gallo,365734
Paul Guilfoyle,373967
Alex Huszar,375723
The Dalai Lama,381225
John Howard,399879
Christopher Denham,405614
William Hootkins,410388
Christian Clavier,423036
Shane Carruth,424760
Bill Farmer,425899
Anthony 'Citric' Campos,438653
Mitsuo Iwata,439162
Sarah Kazemy,439958
John Enos III,442638
Logan Browning,444044
Krystyna Janda,447093
Sarunyu Wongkrachang,454255
Saif Ali Khan,463922.5
Steve Howey,480314
Anwar Congo,484221
Wei Zhao,488872
David Hewlett,489220
Christo Jivkov,499263
Konstantin Lavronenko,502028
Tshewang Dendup,505295
Bruce Dern,508867
Sara Forestier,513836
Paul McCartney,515005
Nandita Das,528972
Kayla Jackson,531806
Matt Bennett,535249
Yorick van Wageningen,542860
Bashar Rahal,578527
Trey Parker,582024
Greg Ayres,592014
Jason Marsden,594904
Zoe Kazan,605831
Thomas Bo Larsen,610968
Karisma Kapoor,610991
Jean-Pierre Léaud,611709
Qi Shu,613556
Walter Koenig,617172
Julia Jentsch,617228
Shahir Kabaha,621240
Jeremy W. Auman,630779
Long Nguyen,638951
Dong-gun Jang,668171
Celia Imrie,671240
Fereshteh Sadre Orafaiy,673780
Sean Lennon,686383
Nicolas Giraud,706622
Beau Bridges,712294
Jan Decleir,713413
Kevin Corrigan,715667
Philippe Nahon,753501
Jung-min Hwang,770629
Phoebe Legere,792966
Michael Berryman,834662.5
Donna Murphy,841206
John Robinson,856942
Eamonn Walker,860002
Stephanie Leonidas,864959
Sam Riley,871577
James Brolin,876671
Mark Duplass,883089.5
Q'orianka Kilcher,883887
Elpidia Carrillo,886410
Purva Bedi,902835
Rachel Dratch,906666
Bahare Seddiqi,925402
Heike Makatsch,927107
Megan Park,952620
Sonja Sohn,982214
Sasha Alexander,985341
Mía Maestro,995717.5
Allison Dean,1001437
Odessa Rae,1007962
John Boyega,1024175
Dan Futterman,1027119
Andrew Wilson,1040879
Gary Lewis,1050445
Katy Mixon,1055577.5
Scott Mechlowicz,1055654
Alexis Dziena,1056102
Yasmine Al Massri,1060591
Jon Gries,1066555
Satish Kaushik,1094998
Noah Danby,1098224
Dana Delany,1100000
Campbell Scott,1112655.5
Rachel True,1114943
Marina Golbahari,1127331
John F. Kennedy,1134049
Adam LeFevre,1141829
Arjun Rampal,1165104
Min-sik Choi,1167714.333
Kirby Heyborne,1181206.5
Marco St. John,1183354
Anamaria Marinca,1185783
Joan Chen,1186323
Aksel Hennie,1196752
David Belle,1197786
Burt Young,1200000
Katrina Kaif,1207007
Tommy Pallotta,1227508
James Wolk,1243961
Omar Sy,1260917
Kimberly J. Brown,1281176
Tony Alva,1293295
Corbin Allred,1310270
Robin Lord Taylor,1316074
Mem Ferda,1357042
Jaime Camil,1391770
Terry Kiser,1400000
Geoff Stults,1425993
Konstantin Khabenskiy,1487477
David Richmond-Peck,1506998
Mark Zupan,1523883
Isabella Rossellini,1540793.333
David Alpay,1554566
Aidan Quinn,1568388.25
Brenda Fricker,1569918
Bárbara Mori,1602466
Kevin Pollak,1624926
Miranda Richardson,1641788
Damon Wayans,1646664
Alanna Ubach,1647308.5
Ulrich Thomsen,1647780
Simon Abkarian,1652472
Jason Mewes,1657360.5
Emily Rios,1689999
Alex Rocco,1705139
Eric Stoltz,1730378
Greta Gerwig,1736929.667
Nathalie Fay,1768416
Padraic Delaney,1829142
Ally Walker,1943649
Christopher Meloni,1944676
Nicole Ari Parker,1977544
Kim Dickens,1980338
Sook-Yin Lee,1984378
Ian McNeice,1987287
Mary Elizabeth Mastrantonio,1997807
Tippi Hedren,2000000
Emily Podleski,2024854
Chelcie Ross,2025238
Dameon Clarke,2035566
Lesley Manville,2035717.5
Carlos Gallardo,2040920
Terry Funk,2047570
Victor Rasuk,2073984
Belén Rueda,2086345
Darci Kistler,2119994
Mike Tyson,2126511
Sam Waterston,2154540
Gillian White,2185266
Anupam Kher,2197331
Doona Bae,2201412
Samantha Barks,2209479
Ulrich Tukur,2222647
Donny Boaz,2246000
Romain Duris,2264970.5
Gerry Lopez,2276368
Ari Folman,2283276
Hill Harper,2301777
Isabelle Adjani,2353728
Mia Wasikowska,2358409
Ami Ayalon,2408553
Michael Joiner,2428241
Seth Gilliam,2474000
Danny Pino,2483955
Shawnee Smith,2507106
Hugh M. Hefner,2598198
Collin Alfredo St. Dic,2601847
Joely Richardson,2615587.5
Ginger Rogers,2650000
Tom Burke,2708188
Lawrence Gilliard Jr.,2712293
Larry David,2740115
Anita Page,2808000
Toni Servillo,2835886
Robyn Lively,2848578
Stacy Edwards,2856622
Bebe Neuwirth,2882062
Meat Loaf,2902736.333
Chris Eigeman,2938208
Gladys Cooper,2956000
Paul McGill,2957978
Christopher Abbott,2981638
Stephen Carr,3000000
John Cameron Mitchell,3029081
Cheech Marin,3041656
Ted Raimi,3048055
Jeremy Davies,3053845
Cliff Robertson,3060858
Don McKellar,3073392
Numan Acar,3093491
Melissa Sagemiller,3100650
Radivoje Bukvic,3108216
Ken Burns,3117666
Gaby Hoffmann,3122616
Dyan Cannon,3123749
Rupert Graves,3130592
Alia Shawkat,3219029
John Abraham,3222857
Antoni Corone,3273588
Kevin Scott Richardson,3278611
Emir Kusturica,3288088.5
Wanda Sykes,3293258
Henry Silva,3300230
Shah Rukh Khan,3315853.75
Robert Picardo,3333823
Eric Johnson,3347439
James Hetfield,3419967
Marie-Josée Croze,3432342
Donald Glover,3447339
Kristy Swanson,3559990
Barry Corbin,3560848.5
Vanessa Lengies,3590010
Jean-Baptiste Maunier,3629758
Cécile De France,3645438
François Bégaudeau,3766595
Randy Wayne,3773863
Parry Shen,3799339
Joanna Kulig,3826455
Ranbir Kapoor,3827466
Thomas Kretschmann,3852790.5
Moritz Bleibtreu,3871797
Najarra Townsend,3885134
Lambert Wilson,3950029
Michael Dudikoff,4000000
Florian Lukas,4063859
Norbert Ferrer,4074023
Iko Uwais,4105123
Eddie Griffin,4125449
Callie Thorne,4142507
Eddie Izzard,4150870
Aunjanue Ellis,4186931
Cem Yilmaz,4190530
Ezra Miller,4204702
Nawazuddin Siddiqui,4231500
Dylan Authors,4234040
Molly Parker,4239767
Nicholas Rowe,4250320
Mariah Carey,4273372
Alexander Skarsgård,4274902.25
Derek Luke,4291965
Katrina Bowden,4310278.5
John Heard,4390001
Michael Pollan,4417124
Nicholas Aaron,4581222
Marcela Mar,4584886
Bridgette Wilson-Sampras,4777007
Louise Fletcher,4884663
Anika Noni Rose,4922166
Julianna Guill,4930798
Sheryl Crow,4946250
Rock Hudson,5000000
Kenneth Tobey,5000000
Flavio Parenti,5004648
Cameron Bright,5005883
Levon Helm,5023275
Melanie Griffith,5032496
Maricel Álvarez,5100937
Catherine Lough Haggquist,5132655
Matthew Settle,5217498
Robert Townsend,5228617
Barry Bostwick,5333658
Charles Napier,5343214.5
Indira Varma,5355087
Mick Jagger,5355376
Rachel Hendrix,5355847
Adriana Barraza,5383834
Hanno Pöschl,5400000
Romola Garai,5403649.667
Michael J. Pollard,5430822
Tom Berenger,5499635.5
Tenzin Thuthob Tsarong,5532301
Fernanda Montenegro,5595428
Terry Pheto,5618555.5
Jennifer Jason Leigh,5642690.167
Todd Giebenhain,5660084
Tony Cox,5664251
Santiago Cabrera,5669081
Catherine Deneuve,5680128.714
Tadanobu Asano,5701643
Damián Alcázar,5709616
Hayden Christensen,5734132
Sebastian Koch,5779478
Vernon Dobtcheff,5792822
Takeshi Kaneshiro,5834018.5
Emmanuelle Seigner,5990075
W. Earl Brown,5997134
Dylan Moran,5998971
Ian McDiarmid,6000000
Claude Rains,6000000
Kristin Lehman,6047856
Alessandro Nivola,6109075
Peter Fonda,6123919
Fran Drescher,6157157
Roy Billing,6165429
Denis Lavant,6167817
Merab Ninidze,6173485
Robert Redford,6262942
Clive Russell,6462576
Gregory Scott Cummins,6482195
Tamannaah Bhatia,6498000
Catalina Sandino Moreno,6517198
Kevin Alejandro,6563357
Tony Chiu Wai Leung,6594136
David Masterson,6615578
Del Zamora,6712451
Michael Greyeyes,6719300
David Margulies,6734844
Jill Clayburgh,6754898
Brendan Fehr,6755271
Daniel Sharman,6842058
Lubna Azabal,6857096
Dominic Flores,6998324
M. Emmet Walsh,7000000
Chriss Anglin,7001720
Michel Robin,7002255
Wesley Jonathan,7009668
Jennifer Hudson,7017178
Scott Cohen,7022940
Alex Kendrick,7051334
DeRay Davis,7070459
Shahab Hosseini,7098492
S. Epatha Merkerson,7137502
Geraldine Chaplin,7159147
Joel McHale,7204138
Angus Scrimm,7282851
Craig T. Nelson,7285301
Jonathan Brandis,7292175
Julian Morris,7338950.333
William Baldwin,7362100
Kathleen Wilhoite,7369373
Alan Ruck,7402173.5
Heather Matarazzo,7484883
Isaac C. Singleton Jr.,7705974
James Cagney,7707563
Elizabeth Berrington,7757130
Gretchen Mol,7769926
Dustin Milligan,7774730
Kieran Culkin,7823378.75
Frances Fisher,7830194
William Gates,7830611
Clifton Collins Jr.,7848297
John Astin,7888703
Alice Braga,7890458
Keenan Wynn,8000000
Jason Robards,8000000
Bill Johnson,8025872
Heather Berman,8044906
Mary-Kate Olsen,8047705
Debbie Reynolds,8054280
Martin Dew,8093318
Sophie Okonedo,8111360
Seamus Davey-Fitzpatrick,8114507
Daniel Kaluuya,8129455
Paul Sorvino,8157847
Irvin Kershner,8373585
Jasper Cole,8460995
James Nesbitt,8537152.667
Chris Klein,8742261
Scott Grimes,8888143
Olivia Williams,8894729
Lochlyn Munro,8984751
Vernon Wells,9003011
Richard Johnson,9030581
Scott Baio,9109322
Michael Stuhlbarg,9190525
Brian Bosworth,9286314
Ian Whyte,9353573
Thomas McDonell,9402410
Michael Smiley,9407232.333
Emily Watson,9432641.5
Glen Hansard,9437933
John Mahoney,9449219
Johannes Silberschneider,9473382
Jason Priestley,9500634
Aisha Tyler,9525276
Kurtwood Smith,9529897.667
Justin Theroux,9540844.333
Philip Baker Hall,9603243.5
Lara Jill Miller,9628751
Don Rickles,9975684
Hiroshi Abe,10037390
Bunta Sugawara,10049886
Angell Conwell,10097096
John de Lancie,10105261.5
Cameron Monaghan,10106233
John Doe,10114315
Ian Ziering,10137232
Leon,10149779
Lea Michele,10160914.5
Brian Blessed,10161099
Sid Haig,10216048
Shari Albert,10246600
Michael McKean,10271558.5
Joe Estevez,10305534
Sean Pertwee,10322249.67
Joseph Gilgun,10352160
Monica Potter,10397365
Oliver James,10411980
Rebecca Budig,10494494
Mireille Enos,10499968
Mia Kirshner,10556196
Ricardo Darín,10694342.5
Jacques Perrin,10762178
Marc Blucas,10824951.67
Matt Smith,10907291
Marlee Matlin,10941801
Ryan Kruger,10955425
Tyler Labine,10965209
Christopher Masterson,11000000
Max Minghella,11022322.5
Trevor Morgan,11144518
Quinton Aaron,11169531
Callum Rennie,11244805
Joan Allen,11257643
Sarah Polley,11412313.67
Jürgen Prochnow,11433134
Patricia Tallman,11501093
Tasha Smith,11508423
Jim Gaffigan,11515526.33
Tony Curran,11516186.33
Chemeeka Walker,11529368
Alicia Goranson,11533945
Andy Lau,11546543
Saffron Burrows,11576087
Fred Willard,11675178
Danny Strong,11702090
Chase Ellison,11703287
Taylor Negron,11847014.67
Jon Foo,11905519
Alison Lohman,11923925.5
Billy Crudup,11959559.75
Mara Wilson,12015269
Mira Sorvino,12141036
Marco Treviño,12188642
Annabella Sciorra,12189514
Taylor Cole,12232937
Wilford Brimley,12291840
Blair Underwood,12339633
Beth Grant,12377964.5
Dallas Barnett,12495865
Eric Sheffer Stevens,12555230
George Coe,12610552
Peter Mensah,12610731
Julian Richings,12619673.5
Sammo Kam-Bo Hung,12674183
Yuri Lowenthal,12701880
David Paymer,12718162
Jessica Paré,12831121
Justin Chon,12838548.5
William Hurt,12863242
Billy Campbell,12870569
Tyler James Williams,12885609
Carmen Maura,12899702
Bill Maher,12995673
Lena Horne,13000000
Meg Foster,13008928
MyAnna Buring,13016102.5
Daniel Stern,13034417
Charlotte Rampling,13050460.17
Aasif Mandvi,13214030
Fisher Stevens,13283182.33
Joe Cocker,13300000
Woody Allen,13306102.71
Jessica Lowndes,13350177
Greg Germann,13367101
James Callis,13391174
Wood Harris,13401683
Marley Shelton,13416476.5
Craig Ferguson,13436374.5
Peter Serafinowicz,13464388
Gregory Smith,13502436.33
Peter Gallagher,13509548
Jacinda Barrett,13569248
Ron Howard,13596911
Maribel Verdú,13622333
Khandi Alexander,13666017.5
Yuki Matsuzaki,13753931
Viggo Mortensen,13858905.9
Naseeruddin Shah,13876974
Lee Majors,13903262
Jaime King,13917366
Zach Gilford,13922818.5
Martin Starr,13973532
Gabriel Millman,14060950
Ian Somerhalder,14115562
Paul Brooke,14131298
Carlos Ponce,14195362
Talisa Soto,14294842
Thomas F. Wilson,14301714
Richard Epcar,14358033
Rip Torn,14359216.5
Ronald Reagan,14359793
Carol Kane,14375181
Tom Atkins,14400000
Tisha Campbell-Martin,14545844
Andrew Robinson,14564027
Rosanna Arquette,14587732
Chris Marquette,14589444
Olivier Martinez,14599820
David Keith,14600360.5
Lily Tomlin,14619561.5
Maika Monroe,14673301
Laura Ramsey,14811011
Curtis Armstrong,14956153.67
Mark Valley,14983572
Vanessa Redgrave,14993277.75
Rick Yune,14993449
Peter Coyote,14996349.33
Rumi Hiiragi,15081783
Mia Farrow,15131330
Yaya DaCosta,15155772
Byron Mann,15156200
Kevin Zegers,15173011.25
Tom Hughes,15294553
Stephen Dillane,15331289
Devin Ratray,15345818.33
Richard E. Grant,15358040.67
Claudia Christian,15361537
Ray Winstone,15405219
Thomas Lennon,15408822
Andy Dick,15464026
Willie Garson,15643065
Cole Hauser,15712072
Mustafa Haidari,15797907
Nicholas Gonzalez,15802718
Sam Shepard,15952034
Quentin Tarantino,15972098.4
Pam Ferris,16005978
Ed Skrein,16027866
Steve Oedekerk,16033556
Brittany Daniel,16039927
Ursula Andress,16067035
Ahna O'Reilly,16097842
Jurnee Smollett-Bell,16100254
Jim Sturgess,16257593
Mike Howard,16377274
Michael Angarano,16448660
Kane Hodder,16483015
Eddie Cibrian,16496917.5
Common,16607623.5
Reba McEntire,16667084
Ornella Muti,16684352
Sally Hawkins,16704713.5
Jenna Fischer,16768837
Eddie Redmayne,16795890
Oliver Reed,16800000
Frances Conroy,16900176.33
Woody Strode,17000000
Jamie Kennedy,17010646
Shengyi Huang,17104669
Amanda Schull,17174870
Ashley Rickards,17314483
Samaire Armstrong,17324744
Armando Riesco,17444985
Mako,17450000
Joseph Cotten,17450000
Bob Neill,17473245
Kimberly Elise,17474107
Michael Moore,17493931.33
Brian Dennehy,17500246.5
Phil Davis,17508670
Kathleen Turner,17511647
Christopher Nicholas Smith,17536788
Warren Christie,17683670
Michiel Huisman,17755910.67
Jason London,17757087
Stephen Collins,17843379
Stephen Rea,17888822.5
Frank Langella,17911482.5
Omari Hardwick,18053622.25
Farrah Fawcett,18270056
Christopher Lambert,18274161
Grace Phipps,18298649
Tim Meadows,18317151
Liam Aiken,18357781.75
Li Gong,18376639.2
Luke Newberry,18381787
John Gatins,18438149
Geoffrey Arend,18488314
Natasha Lyonne,18573019.6
Hunter Parrish,18575164
Tammin Sursok,18595716
Robert Clohessy,18600911
Ben Feldman,18722545
Roxanne McKee,18821279
Kelly Carlson,18843314
Chris Zylka,18860403
Jordi Mollà,18867123
Donald Pleasence,18925196.33
David Gant,18947630
Caitlin Stasey,19059018
Lew Temple,19067631
Betsy Palmer,19100000
Christina Milian,19118247
Chris Moss,19179969
Nancy O'Dell,19184015
Drake Bell,19280936
William Schallert,19281235
Amanda Detmer,19351569
Pedro Armendáriz Jr.,19406406
Archie Panjabi,19434002.5
Alden Ehrenreich,19445217
Olivia Wilde,19545367.17
Fergie,19673424
Alona Tal,19692608
Donald Faison,19828306.25
Jordana Brewster,20080874
Ted Danson,20113965
Ben Gazzara,20125014
Zooey Deschanel,20204898
Ivana Milicevic,20240317.67
Sheryl Lee,20241395
Laura Harring,20267208.5
Bobbie Phillips,20302961
Ethan Suplee,20319681
Wendi McLendon-Covey,20339754
Tony Nappo,20433940
Hector Elizondo,20501467.67
James Corden,20573531
Kevin McNally,20654854.5
America Ferrera,20692095.75
John Beasley,20733485
Benjamin A. Onyango,20773070
Tom Skerritt,20786744
Jeff Kober,20801344
